appid,name,developer,publisher,release_date,release_year,genres,categories,steamspy_tags,platforms,positive_ratings,negative_ratings,total_ratings,positive_ratio,well_received,reception_tier,owners,owners_avg,pred_positive_ratio,pred_well_received_proba,pred_owners,pred_reception_tier,reception_gap,owners_gap_log,price,price_log,is_free,achievements,achievements_log,achievements_per_dollar,required_age,num_genres,dev_avg_rating,dev_game_count,pub_avg_rating,pub_game_count,release_month,release_year_filled,name_len,name_word_count,platform_windows,platform_mac,platform_linux,num_platforms,genre_Indie,genre_Action,genre_Casual,genre_Adventure,genre_Strategy,genre_Simulation,genre_RPG,genre_Early_Access,genre_Free_to_Play,genre_Sports,cat_multiplayer,cat_singleplayer,cat_coop,cat_online_multiplayer,cat_steam_achievements,cat_steam_trading_cards,cat_full_controller_support,cat_steam_cloud,tag_Indie,tag_Action,tag_Casual,tag_Adventure,tag_Strategy,tag_Simulation,tag_Early_Access,tag_RPG,tag_Free_to_Play,tag_Puzzle,tag_VR,tag_Sports,tag_Racing,tag_Platformer,tag_Nudity
959980,Click the Business,Garnudo Games,Garnudo Games,2018-10-25,2018,Casual;Indie;Simulation,Single-player,Indie;Casual;Simulation,windows,0,1,1,0.0,0,Poor,0-20000,10000.0,0.28208986,0.09614658,9709.125,Poor,-0.28208985924720764,0.029515951388138006,0.79,0.5822156198526637,0,0,0.0,0.0,0,3,0.47911550978225287,22,0.47911550978225287,22,10,2018,18,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
959990,Block Puzzle!,Garnudo Games,Garnudo Games,2019-04-04,2019,Casual;Indie;Simulation,Single-player,Indie;Casual;Simulation,windows,1,0,1,1.0,1,Great,0-20000,10000.0,0.64180064,0.78924626,9536.691,Great,0.3581993579864502,0.04743358444477863,0.79,0.5822156198526637,0,0,0.0,0.0,0,3,0.44685744526612386,22,0.44685744526612386,22,4,2019,13,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
960010,Coop Tank War,Garnudo Games,Garnudo Games,2018-10-25,2018,Action;Casual;Indie;Simulation,Single-player,Action;Indie;Casual,windows,1,0,1,1.0,1,Great,0-20000,10000.0,0.55157906,0.41825202,9696.825,Great,0.4484209418296814,0.030783384554641913,0.79,0.5822156198526637,0,0,0.0,0.0,0,4,0.44685744526612386,22,0.44685744526612386,22,10,2018,13,3,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
960030,Deca,Jorge Diaz Alcaraz;Eduardo San Nicolas Montes;Jorge Rubio Lombardo;Xavier Ques Bravo,Jorge Diaz Alcaraz;Eduardo San Nicolas Montes,2018-12-20,2018,Indie;Early Access,Single-player,Early Access;Gore;Nudity,windows,19,1,20,0.95,1,Great,0-20000,10000.0,0.76099837,0.8047278,12774.567,Great,0.18900163173675533,-0.24484947372172527,8.29,2.2289385528257473,0,0,0.0,0.0,18,2,0.7139077639746677,1,0.7139077639746677,1,12,2018,4,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
960040,Clash of Chefs VR,Flat Hill Games,Flat Hill Games,2018-11-16,2018,Casual;Indie;Simulation;Early Access,Single-player;Multi-player;Online Multi-Player,Early Access;Indie;Casual,windows,24,5,29,0.8275862068965517,1,Great,0-20000,10000.0,0.73961025,0.7377842,9985.621,Great,0.08797595213199483,0.0014388258388216002,15.49,2.8027541365715076,0,0,0.0,0.0,0,4,0.7139077639746677,1,0.7139077639746677,1,11,2018,17,4,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
960090,Bloons TD 6,Ninja Kiwi,Ninja Kiwi,2018-12-17,2018,Strategy,Single-player;Steam Achievements;In-App Purchases,Strategy;Tower Defense;Singleplayer,windows,516,251,767,0.6727509778357236,0,Average,200000-500000,350000.0,0.79545164,0.6203894,14329.612,Great,-0.1227006632470401,3.195538054215211,6.99,2.0781907597781832,0,49,3.912023005428146,6.132665832290363,0,1,0.736955474001958,6,0.736955474001958,6,12,2018,11,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
960130,Galaxity Beta,"MAMMOSSIX Co., Ltd.","MAMMOSSIX Co., Ltd.",2018-11-12,2018,Free to Play;Indie;Massively Multiplayer,Multi-player;Online Multi-Player;MMO;Online Co-op;Cross-Platform Multiplayer,Free to Play;Indie;Massively Multiplayer,windows,3,4,7,0.42857142857142855,0,Poor,0-20000,10000.0,0.45275974,0.06322253,34729.574,Poor,-0.02418831416538786,-1.2449353044102018,0.0,0.0,1,0,0.0,0.0,0,3,0.5527912599819055,5,0.5527912599819055,5,11,2018,13,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
960150,Rending Sky,Luohua Studio,Luohua Studio,2019-02-27,2019,Action;Adventure;Indie;RPG;Early Access,Single-player;Partial Controller Support,Early Access;Action;RPG,windows,11,13,24,0.4583333333333333,0,Poor,0-20000,10000.0,0.6987511,0.51305354,10457.675,Great,-0.24041775862375897,-0.04474666763041668,11.39,2.516889695641051,0,0,0.0,0.0,0,5,0.7139077639746677,1,0.7139077639746677,1,2,2019,11,2,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
960190,Maytroid. I swear it's a nice game too,PixelGreeds,PixelGreeds,2018-12-11,2018,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,Sexual Content;Action;Nudity,windows,63,16,79,0.7974683544303798,1,Great,0-20000,10000.0,0.88598454,0.9431786,16985.453,Great,-0.08851618555527696,-0.5297310655186003,1.69,0.9895411936137477,0,11,2.4849066497880004,4.089219330855019,0,3,0.7570386087204101,4,0.7570386087204101,4,12,2018,38,8,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
960200,One Night 2: The Beyond,Dark Gaia Studios,Dark Gaia Studios,2018-11-29,2018,Adventure;Indie,Full controller support,Adventure;Indie;Gore,windows,2,0,2,1.0,1,Great,0-20000,10000.0,0.81647325,0.7634647,11770.223,Great,0.18352675437927246,-0.1629727189609831,2.89,1.358409157630355,0,0,0.0,0.0,0,2,0.7275033668006575,6,0.744063348285768,3,11,2018,23,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
